Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,No,No,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
2b9045a2-611d-4de3-9966-a7ca5d5ebe97,,,Lungs - CTA,Lungs - CTA,Lungs - CTA,Lungs - CTA,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
f1d7517a-2b9f-4d21-b7ee-ccf51ce1ba42,,,ABD - Benign,ABD - Benign,ABD - Benign,ABD - Benign,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
0016f1b2-6211-4c45-9c6f-d763a2b72601,,,Neuro,Neuro,Neuro,Neuro,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
77ddd7f0-8036-4f4d-8c05-249a56200bfa,,,T,T,T,T,,,Misc,Text,,,,,,,,,,,
eb256474-56d5-4dca-a024-fc7999faec15,,,P,P,P,P,,,Misc,Text,,,,,,,,,,,
7bf84335-5fe9-424b-90c0-4d6999d60225,,,R,R,R,R,,,Misc,Text,,,,,,,,,,,
c39143d9-9532-4a81-bcab-c05a7ccb73dc,,,BP,BP,BP,BP,,,Misc,Text,,,,,,,,,,,
0c1393f3-6e6d-43dd-85f5-426c7f09fe24,,,RA SaO2,RA SaO2,RA SaO2,RA SaO2,,,Misc,Text,,,,,,,,,,,
502db560-a725-4374-8943-759a9ca69e71,,,Ht (in cm),Ht (in cm),Ht (in cm),Ht (in cm),,,Misc,Text,,,,,,,,,,,
3a007b6b-85bc-476e-9210-7a0ed8b91fc2,,,Wt (kg),Wt (kg),Wt (kg),Wt (kg),,,Misc,Text,,,,,,,,,,,
9014020e-336f-4141-aca5-5ef66ee8c83f,,,Cleft Lip/Palate - Physical Exam,Cleft Lip/Palate - Physical Exam,Cleft Lip/Palate - Physical Exam,Cleft Lip/Palate - Physical Exam,,,ConvSet,N/A,,,2b9045a2-611d-4de3-9966-a7ca5d5ebe97; f1d7517a-2b9f-4d21-b7ee-ccf51ce1ba42; 0016f1b2-6211-4c45-9c6f-d763a2b72601; 77ddd7f0-8036-4f4d-8c05-249a56200bfa; eb256474-56d5-4dca-a024-fc7999faec15; 7bf84335-5fe9-424b-90c0-4d6999d60225; c39143d9-9532-4a81-bcab-c05a7ccb73dc; 0c1393f3-6e6d-43dd-85f5-426c7f09fe24; 502db560-a725-4374-8943-759a9ca69e71; 3a007b6b-85bc-476e-9210-7a0ed8b91fc2,,,,,,,,